*************************************
Time	p   q		S   OV
298	+ 9   + 9		+ 2   1
299	+ 9   +10		+ 3   1
300	+ 9   +11		+ 4   1
301	+ 9   +12		+ 5   1
302	+ 9   +13		+ 6   1
303	+ 9   +14		+ 7   1
304	+ 9   +15		+ 8   1
305	+ 9   - 0		+ 9   0
306	+ 9   - 1		+ 8   0
307	+ 9   - 2		+ 7   0
308	+ 9   - 3		+ 6   0
309	+ 9   - 4		+ 5   0
310	+ 9   - 5		+ 4   0
311	+ 9   - 6		+ 3   0
312	+ 9   - 7		+ 2   0
313	+ 9   - 8		+ 1   0
314	+ 9   - 9		+ 0   0
315	+ 9   -10		- 1   0
316	+ 9   -11		- 2   0
317	+ 9   -12		- 3   0
318	+ 9   -13		- 4   0
319	+ 9   -14		- 5   0
320	+ 9   -15		- 6   0
321	+10   + 0		+10   0
322	+10   + 1		+11   0
323	+10   + 2		+12   0
324	+10   + 3		+13   0
325	+10   + 4		+14   0
326	+10   + 5		+15   0
327	+10   + 6		+ 0   1
328	+10   + 7		+ 1   1
329	+10   + 8		+ 2   1
330	+10   + 9		+ 3   1
331	+10   +10		+ 4   1
332	+10   +11		+ 5   1
333	+10   +12		+ 6   1
334	+10   +13		+ 7   1
335	+10   +14		+ 8   1
336	+10   +15		+ 9   1
337	+10   - 0		+10   0
338	+10   - 1		+ 9   0
339	+10   - 2		+ 8   0
340	+10   - 3		+ 7   0
341	+10   - 4		+ 6   0
342	+10   - 5		+ 5   0
343	+10   - 6		+ 4   0
344	+10   - 7		+ 3   0
345	+10   - 8		+ 2   0
346	+10   - 9		+ 1   0
347	+10   -10		+ 0   0
348	+10   -11		- 1   0
349	+10   -12		- 2   0
350	+10   -13		- 3   0
351	+10   -14		- 4   0
352	+10   -15		- 5   0
353	+11   + 0		+11   0
354	+11   + 1		+12   0
355	+11   + 2		+13   0
356	+11   + 3		+14   0
357	+11   + 4		+15   0
358	+11   + 5		+ 0   1
359	+11   + 6		+ 1   1
360	+11   + 7		+ 2   1
361	+11   + 8		+ 3   1
362	+11   + 9		+ 4   1
363	+11   +10		+ 5   1
364	+11   +11		+ 6   1
365	+11   +12		+ 7   1
366	+11   +13		+ 8   1
367	+11   +14		+ 9   1
368	+11   +15		+10   1
369	+11   - 0		+11   0
370	+11   - 1		+10   0
371	+11   - 2		+ 9   0
372	+11   - 3		+ 8   0
373	+11   - 4		+ 7   0
374	+11   - 5		+ 6   0
375	+11   - 6		+ 5   0
376	+11   - 7		+ 4   0
377	+11   - 8		+ 3   0
378	+11   - 9		+ 2   0
379	+11   -10		+ 1   0
380	+11   -11		+ 0   0
381	+11   -12		- 1   0
382	+11   -13		- 2   0
383	+11   -14		- 3   0
384	+11   -15		- 4   0
385	+12   + 0		+12   0
386	+12   + 1		+13   0
387	+12   + 2		+14   0
388	+12   + 3		+15   0
389	+12   + 4		+ 0   1
390	+12   + 5		+ 1   1
391	+12   + 6		+ 2   1
392	+12   + 7		+ 3   1
393	+12   + 8		+ 4   1
394	+12   + 9		+ 5   1
395	+12   +10		+ 6   1
396	+12   +11		+ 7   1
397	+12   +12		+ 8   1
398	+12   +13		+ 9   1
399	+12   +14		+10   1
400	+12   +15		+11   1
401	+12   - 0		+12   0
402	+12   - 1		+11   0
403	+12   - 2		+10   0
404	+12   - 3		+ 9   0
405	+12   - 4		+ 8   0
406	+12   - 5		+ 7   0
407	+12   - 6		+ 6   0
408	+12   - 7		+ 5   0
409	+12   - 8		+ 4   0
410	+12   - 9		+ 3   0
411	+12   -10		+ 2   0
412	+12   -11		+ 1   0
413	+12   -12		+ 0   0
414	+12   -13		- 1   0
415	+12   -14		- 2   0
416	+12   -15		- 3   0
417	+13   + 0		+13   0
418	+13   + 1		+14   0
419	+13   + 2		+15   0
420	+13   + 3		+ 0   1
421	+13   + 4		+ 1   1
422	+13   + 5		+ 2   1
423	+13   + 6		+ 3   1
424	+13   + 7		+ 4   1
425	+13   + 8		+ 5   1
426	+13   + 9		+ 6   1
427	+13   +10		+ 7   1
428	+13   +11		+ 8   1
429	+13   +12		+ 9   1
430	+13   +13		+10   1
431	+13   +14		+11   1
432	+13   +15		+12   1
433	+13   - 0		+13   0
434	+13   - 1		+12   0
435	+13   - 2		+11   0
436	+13   - 3		+10   0
437	+13   - 4		+ 9   0
438	+13   - 5		+ 8   0
439	+13   - 6		+ 7   0
440	+13   - 7		+ 6   0
441	+13   - 8		+ 5   0
442	+13   - 9		+ 4   0
443	+13   -10		+ 3   0
444	+13   -11		+ 2   0
445	+13   -12		+ 1   0
446	+13   -13		+ 0   0
447	+13   -14		- 1   0
448	+13   -15		- 2   0
449	+14   + 0		+14   0
450	+14   + 1		+15   0
451	+14   + 2		+ 0   1
452	+14   + 3		+ 1   1
453	+14   + 4		+ 2   1
454	+14   + 5		+ 3   1
455	+14   + 6		+ 4   1
456	+14   + 7		+ 5   1
457	+14   + 8		+ 6   1
458	+14   + 9		+ 7   1
459	+14   +10		+ 8   1
460	+14   +11		+ 9   1
461	+14   +12		+10   1
462	+14   +13		+11   1
463	+14   +14		+12   1
464	+14   +15		+13   1
465	+14   - 0		+14   0
466	+14   - 1		+13   0
467	+14   - 2		+12   0
468	+14   - 3		+11   0
469	+14   - 4		+10   0
470	+14   - 5		+ 9   0
471	+14   - 6		+ 8   0
472	+14   - 7		+ 7   0
473	+14   - 8		+ 6   0
474	+14   - 9		+ 5   0
475	+14   -10		+ 4   0
476	+14   -11		+ 3   0
477	+14   -12		+ 2   0
478	+14   -13		+ 1   0
479	+14   -14		+ 0   0
480	+14   -15		- 1   0
481	+15   + 0		+15   0
482	+15   + 1		+ 0   1
483	+15   + 2		+ 1   1
484	+15   + 3		+ 2   1
485	+15   + 4		+ 3   1
486	+15   + 5		+ 4   1
487	+15   + 6		+ 5   1
488	+15   + 7		+ 6   1
489	+15   + 8		+ 7   1
490	+15   + 9		+ 8   1
491	+15   +10		+ 9   1
492	+15   +11		+10   1
493	+15   +12		+11   1
494	+15   +13		+12   1
495	+15   +14		+13   1
496	+15   +15		+14   1
497	+15   - 0		+15   0
498	+15   - 1		+14   0
499	+15   - 2		+13   0
500	+15   - 3		+12   0
501	+15   - 4		+11   0
502	+15   - 5		+10   0
503	+15   - 6		+ 9   0
504	+15   - 7		+ 8   0
505	+15   - 8		+ 7   0
506	+15   - 9		+ 6   0
507	+15   -10		+ 5   0
508	+15   -11		+ 4   0
509	+15   -12		+ 3   0
510	+15   -13		+ 2   0
511	+15   -14		+ 1   0
512	+15   -15		+ 0   0
513	- 0   + 0		+ 0   0
514	- 0   + 1		+ 1   0
515	- 0   + 2		+ 2   0
516	- 0   + 3		+ 3   0
517	- 0   + 4		+ 4   0
518	- 0   + 5		+ 5   0
519	- 0   + 6		+ 6   0
520	- 0   + 7		+ 7   0
521	- 0   + 8		+ 8   0
522	- 0   + 9		+ 9   0
523	- 0   +10		+10   0
524	- 0   +11		+11   0
525	- 0   +12		+12   0
526	- 0   +13		+13   0
527	- 0   +14		+14   0
528	- 0   +15		+15   0
529	- 0   - 0		+ 0   0
530	- 0   - 1		- 1   0
531	- 0   - 2		- 2   0
532	- 0   - 3		- 3   0
533	- 0   - 4		- 4   0
534	- 0   - 5		- 5   0
535	- 0   - 6		- 6   0
536	- 0   - 7		- 7   0
537	- 0   - 8		- 8   0
538	- 0   - 9		- 9   0
539	- 0   -10		-10   0
540	- 0   -11		-11   0
541	- 0   -12		-12   0
542	- 0   -13		-13   0
543	- 0   -14		-14   0
544	- 0   -15		-15   0
545	- 1   + 0		- 1   0
546	- 1   + 1		+ 0   0
547	- 1   + 2		+ 1   0
548	- 1   + 3		+ 2   0
549	- 1   + 4		+ 3   0
550	- 1   + 5		+ 4   0
551	- 1   + 6		+ 5   0
552	- 1   + 7		+ 6   0
553	- 1   + 8		+ 7   0
554	- 1   + 9		+ 8   0
555	- 1   +10		+ 9   0
556	- 1   +11		+10   0
557	- 1   +12		+11   0
558	- 1   +13		+12   0
559	- 1   +14		+13   0
560	- 1   +15		+14   0
561	- 1   - 0		- 1   0
562	- 1   - 1		- 2   0
563	- 1   - 2		- 3   0
564	- 1   - 3		- 4   0
565	- 1   - 4		- 5   0
566	- 1   - 5		- 6   0
567	- 1   - 6		- 7   0
568	- 1   - 7		- 8   0
569	- 1   - 8		- 9   0
570	- 1   - 9		-10   0
571	- 1   -10		-11   0
572	- 1   -11		-12   0
573	- 1   -12		-13   0
574	- 1   -13		-14   0
575	- 1   -14		-15   0
576	- 1   -15		+ 0   1
577	- 2   + 0		- 2   0
578	- 2   + 1		- 1   0
579	- 2   + 2		+ 0   0
580	- 2   + 3		+ 1   0
581	- 2   + 4		+ 2   0
582	- 2   + 5		+ 3   0
583	- 2   + 6		+ 4   0
584	- 2   + 7		+ 5   0
585	- 2   + 8		+ 6   0
586	- 2   + 9		+ 7   0
587	- 2   +10		+ 8   0
588	- 2   +11		+ 9   0
589	- 2   +12		+10   0
590	- 2   +13		+11   0
591	- 2   +14		+12   0
592	- 2   +15		+13   0
593	- 2   - 0		- 2   0
594	- 2   - 1		- 3   0
595	- 2   - 2		- 4   0
596	- 2   - 3		- 5   0
597	- 2   - 4		- 6   0
598	- 2   - 5		- 7   0
599	- 2   - 6		- 8   0
600	- 2   - 7		- 9   0
601	- 2   - 8		-10   0
602	- 2   - 9		-11   0
603	- 2   -10		-12   0
604	- 2   -11		-13   0
605	- 2   -12		-14   0
606	- 2   -13		-15   0
607	- 2   -14		+ 0   1
608	- 2   -15		- 1   1
609	- 3   + 0		- 3   0
610	- 3   + 1		- 2   0
611	- 3   + 2		- 1   0
612	- 3   + 3		+ 0   0
613	- 3   + 4		+ 1   0
614	- 3   + 5		+ 2   0
615	- 3   + 6		+ 3   0
616	- 3   + 7		+ 4   0
617	- 3   + 8		+ 5   0
618	- 3   + 9		+ 6   0
619	- 3   +10		+ 7   0
620	- 3   +11		+ 8   0
621	- 3   +12		+ 9   0
622	- 3   +13		+10   0
623	- 3   +14		+11   0
624	- 3   +15		+12   0
625	- 3   - 0		- 3   0
626	- 3   - 1		- 4   0
627	- 3   - 2		- 5   0
628	- 3   - 3		- 6   0
629	- 3   - 4		- 7   0
630	- 3   - 5		- 8   0
631	- 3   - 6		- 9   0
632	- 3   - 7		-10   0
633	- 3   - 8		-11   0
634	- 3   - 9		-12   0
635	- 3   -10		-13   0
636	- 3   -11		-14   0
637	- 3   -12		-15   0
638	- 3   -13		+ 0   1
639	- 3   -14		- 1   1
640	- 3   -15		- 2   1
641	- 4   + 0		- 4   0
642	- 4   + 1		- 3   0
643	- 4   + 2		- 2   0
644	- 4   + 3		- 1   0
645	- 4   + 4		+ 0   0
646	- 4   + 5		+ 1   0
647	- 4   + 6		+ 2   0
648	- 4   + 7		+ 3   0
649	- 4   + 8		+ 4   0
650	- 4   + 9		+ 5   0
651	- 4   +10		+ 6   0
652	- 4   +11		+ 7   0
653	- 4   +12		+ 8   0
654	- 4   +13		+ 9   0
655	- 4   +14		+10   0
656	- 4   +15		+11   0
657	- 4   - 0		- 4   0
658	- 4   - 1		- 5   0
659	- 4   - 2		- 6   0
660	- 4   - 3		- 7   0
661	- 4   - 4		- 8   0
662	- 4   - 5		- 9   0
663	- 4   - 6		-10   0
664	- 4   - 7		-11   0
665	- 4   - 8		-12   0
666	- 4   - 9		-13   0
667	- 4   -10		-14   0
668	- 4   -11		-15   0
669	- 4   -12		+ 0   1
670	- 4   -13		- 1   1
671	- 4   -14		- 2   1
672	- 4   -15		- 3   1
673	- 5   + 0		- 5   0
674	- 5   + 1		- 4   0
675	- 5   + 2		- 3   0
676	- 5   + 3		- 2   0
677	- 5   + 4		- 1   0
678	- 5   + 5		+ 0   0
679	- 5   + 6		+ 1   0
680	- 5   + 7		+ 2   0
681	- 5   + 8		+ 3   0
682	- 5   + 9		+ 4   0
683	- 5   +10		+ 5   0
684	- 5   +11		+ 6   0
685	- 5   +12		+ 7   0
686	- 5   +13		+ 8   0
687	- 5   +14		+ 9   0
688	- 5   +15		+10   0
689	- 5   - 0		- 5   0
690	- 5   - 1		- 6   0
691	- 5   - 2		- 7   0
692	- 5   - 3		- 8   0
693	- 5   - 4		- 9   0
694	- 5   - 5		-10   0
695	- 5   - 6		-11   0
696	- 5   - 7		-12   0
697	- 5   - 8		-13   0
698	- 5   - 9		-14   0
699	- 5   -10		-15   0
700	- 5   -11		+ 0   1
701	- 5   -12		- 1   1
702	- 5   -13		- 2   1
703	- 5   -14		- 3   1
704	- 5   -15		- 4   1
705	- 6   + 0		- 6   0
706	- 6   + 1		- 5   0
707	- 6   + 2		- 4   0
708	- 6   + 3		- 3   0
709	- 6   + 4		- 2   0
710	- 6   + 5		- 1   0
711	- 6   + 6		+ 0   0
712	- 6   + 7		+ 1   0
713	- 6   + 8		+ 2   0
714	- 6   + 9		+ 3   0
715	- 6   +10		+ 4   0
716	- 6   +11		+ 5   0
717	- 6   +12		+ 6   0
718	- 6   +13		+ 7   0
719	- 6   +14		+ 8   0
720	- 6   +15		+ 9   0
721	- 6   - 0		- 6   0
722	- 6   - 1		- 7   0
723	- 6   - 2		- 8   0
724	- 6   - 3		- 9   0
725	- 6   - 4		-10   0
726	- 6   - 5		-11   0
727	- 6   - 6		-12   0
728	- 6   - 7		-13   0
729	- 6   - 8		-14   0
730	- 6   - 9		-15   0
731	- 6   -10		+ 0   1
732	- 6   -11		- 1   1
733	- 6   -12		- 2   1
734	- 6   -13		- 3   1
735	- 6   -14		- 4   1
736	- 6   -15		- 5   1
737	- 7   + 0		- 7   0
738	- 7   + 1		- 6   0
739	- 7   + 2		- 5   0
740	- 7   + 3		- 4   0
741	- 7   + 4		- 3   0
742	- 7   + 5		- 2   0
743	- 7   + 6		- 1   0
744	- 7   + 7		+ 0   0
745	- 7   + 8		+ 1   0
746	- 7   + 9		+ 2   0
747	- 7   +10		+ 3   0
748	- 7   +11		+ 4   0
749	- 7   +12		+ 5   0
750	- 7   +13		+ 6   0
751	- 7   +14		+ 7   0
752	- 7   +15		+ 8   0
753	- 7   - 0		- 7   0
754	- 7   - 1		- 8   0
755	- 7   - 2		- 9   0
756	- 7   - 3		-10   0
757	- 7   - 4		-11   0
758	- 7   - 5		-12   0
759	- 7   - 6		-13   0
760	- 7   - 7		-14   0
761	- 7   - 8		-15   0
762	- 7   - 9		+ 0   1
763	- 7   -10		- 1   1
764	- 7   -11		- 2   1
765	- 7   -12		- 3   1
766	- 7   -13		- 4   1
767	- 7   -14		- 5   1
768	- 7   -15		- 6   1
769	- 8   + 0		- 8   0
770	- 8   + 1		- 7   0
771	- 8   + 2		- 6   0
772	- 8   + 3		- 5   0
773	- 8   + 4		- 4   0
774	- 8   + 5		- 3   0
775	- 8   + 6		- 2   0
776	- 8   + 7		- 1   0
777	- 8   + 8		+ 0   0
778	- 8   + 9		+ 1   0
779	- 8   +10		+ 2   0
780	- 8   +11		+ 3   0
781	- 8   +12		+ 4   0
782	- 8   +13		+ 5   0
783	- 8   +14		+ 6   0
784	- 8   +15		+ 7   0
785	- 8   - 0		- 8   0
786	- 8   - 1		- 9   0
787	- 8   - 2		-10   0
788	- 8   - 3		-11   0
789	- 8   - 4		-12   0
790	- 8   - 5		-13   0
791	- 8   - 6		-14   0
792	- 8   - 7		-15   0
793	- 8   - 8		+ 0   1
794	- 8   - 9		- 1   1
795	- 8   -10		- 2   1
796	- 8   -11		- 3   1
797	- 8   -12		- 4   1
798	- 8   -13		- 5   1
799	- 8   -14		- 6   1
800	- 8   -15		- 7   1
801	- 9   + 0		- 9   0
802	- 9   + 1		- 8   0
803	- 9   + 2		- 7   0
804	- 9   + 3		- 6   0
805	- 9   + 4		- 5   0
806	- 9   + 5		- 4   0
807	- 9   + 6		- 3   0
808	- 9   + 7		- 2   0
809	- 9   + 8		- 1   0
810	- 9   + 9		+ 0   0
811	- 9   +10		+ 1   0
812	- 9   +11		+ 2   0
813	- 9   +12		+ 3   0
814	- 9   +13		+ 4   0
815	- 9   +14		+ 5   0
816	- 9   +15		+ 6   0
817	- 9   - 0		- 9   0
818	- 9   - 1		-10   0
819	- 9   - 2		-11   0
820	- 9   - 3		-12   0
821	- 9   - 4		-13   0
822	- 9   - 5		-14   0
823	- 9   - 6		-15   0
824	- 9   - 7		+ 0   1
825	- 9   - 8		- 1   1
826	- 9   - 9		- 2   1
827	- 9   -10		- 3   1
828	- 9   -11		- 4   1
829	- 9   -12		- 5   1
830	- 9   -13		- 6   1
831	- 9   -14		- 7   1
832	- 9   -15		- 8   1
833	-10   + 0		-10   0
834	-10   + 1		- 9   0
835	-10   + 2		- 8   0
836	-10   + 3		- 7   0
837	-10   + 4		- 6   0
838	-10   + 5		- 5   0
839	-10   + 6		- 4   0
840	-10   + 7		- 3   0
841	-10   + 8		- 2   0
842	-10   + 9		- 1   0
843	-10   +10		+ 0   0
844	-10   +11		+ 1   0
845	-10   +12		+ 2   0
846	-10   +13		+ 3   0
847	-10   +14		+ 4   0
848	-10   +15		+ 5   0
849	-10   - 0		-10   0
850	-10   - 1		-11   0
851	-10   - 2		-12   0
852	-10   - 3		-13   0
853	-10   - 4		-14   0
854	-10   - 5		-15   0
855	-10   - 6		+ 0   1
856	-10   - 7		- 1   1
857	-10   - 8		- 2   1
858	-10   - 9		- 3   1
859	-10   -10		- 4   1
860	-10   -11		- 5   1
861	-10   -12		- 6   1
862	-10   -13		- 7   1
863	-10   -14		- 8   1
864	-10   -15		- 9   1
865	-11   + 0		-11   0
866	-11   + 1		-10   0
867	-11   + 2		- 9   0
868	-11   + 3		- 8   0
869	-11   + 4		- 7   0
870	-11   + 5		- 6   0
871	-11   + 6		- 5   0
